1.147563942709270337e-16,2.690796033322337584e-16,2.112817601012292270e-18,1.000000000000000000e+00,2.909520454382589247e-17
3.860559427693033285e-09,1.000000000000000000e+00,1.705902918924806499e-10,4.739536541009670145e-10,1.384273584648099131e-09
1.672913718664403859e-08,5.912549383424448024e-08,1.019174305838532746e-06,7.111263045089799562e-08,9.999988079071044922e-01
1.000000000000000000e+00,2.554538395052596833e-12,1.077702163621019338e-11,1.630937399021981093e-11,5.589453054045956382e-13
3.754766453312186059e-07,4.581395103286922676e-07,2.849983502528630197e-05,1.603328314558893908e-07,9.999705553054809570e-01
1.382196496706455946e-04,4.125384439248591661e-04,9.972455501556396484e-01,8.005682320799678564e-05,2.123713726177811623e-03
9.999997615814208984e-01,4.362306782468294841e-08,3.983829444109687756e-08,1.943183463026798563e-07,6.493396043083521363e-09
2.519152476452291012e-04,9.982193112373352051e-01,6.020385189913213253e-04,1.349097292404621840e-04,7.917874609120190144e-04
2.527933418150496436e-07,3.218776498670194997e-07,1.213849736814154312e-05,1.825989670578564983e-07,9.999871253967285156e-01
6.687557174700486939e-07,9.999989271163940430e-01,1.122338844083969889e-07,8.501837100993725471e-08,1.331522128111828351e-07
1.091070473194122314e-03,1.674943836405873299e-03,6.505335122346878052e-02,1.652217586524784565e-03,9.305284619331359863e-01
1.884407247416675091e-04,4.859832697547972202e-04,9.832601062953472137e-03,3.145272203255444765e-04,9.891784191131591797e-01
1.000000000000000000e+00,6.169482702489403891e-10,1.927493720188522275e-09,7.545453706292448715e-10,1.255375664532820679e-10
2.649444013513857499e-06,4.399147655931301415e-06,3.519756428431719542e-04,1.176464866148307920e-05,9.996291399002075195e-01
9.970583915710449219e-01,5.433825426734983921e-04,6.367782480083405972e-04,1.684655318967998028e-03,7.683030707994475961e-05
9.999997615814208984e-01,3.347179244883591309e-08,1.557070703483987018e-07,3.320801766903969110e-08,3.337016218907251641e-09
3.621925657171232160e-07,1.711569439066806808e-06,9.999954700469970703e-01,2.422327440854132874e-07,2.248972350571420975e-06
7.537035578986106543e-11,1.516988618055492566e-11,1.060534147480363121e-12,1.000000000000000000e+00,1.198787054866590207e-12
1.114957740355748683e-06,3.525393822201294824e-06,6.629327981499955058e-05,8.801985131867695600e-07,9.999282360076904297e-01
3.488450602162629366e-05,5.168277129996567965e-05,9.991154074668884277e-01,7.283105787792010233e-06,7.907146937213838100e-04
9.998900890350341797e-01,4.338130747782997787e-05,3.428096533752977848e-05,2.937661702162586153e-05,2.897118065448012203e-06
6.295599177974509075e-06,1.658821201999671757e-05,1.944259420270100236e-04,5.239137863100040704e-06,9.997774958610534668e-01
5.832077931700041518e-07,9.999978542327880859e-01,1.186721647172817029e-06,6.058149892851361074e-08,3.247030804232053924e-07
6.945036351680755615e-03,1.752479560673236847e-02,4.843798279762268066e-02,1.452343259006738663e-02,9.125688076019287109e-01
3.027667105197906494e-01,1.096344739198684692e-01,2.705753743648529053e-01,6.565017253160476685e-02,2.513732314109802246e-01
1.530758345325011760e-05,2.335200770176015794e-05,2.308115072082728148e-04,1.110856464947573841e-05,9.997194409370422363e-01
