id,Actual,Predicted
15,24.477636,46.7299881
17,24.41951,45.54628372
22,23.547624,49.20133209
27,23.954504,51.2850647
33,23.373247,44.92852783
40,25.058893,50.49922943
44,25.349522,45.56893158
50,25.756402,48.20990372
54,25.582025,42.57941437
55,25.814528,49.54523468
81,37.730307,39.35634613
83,37.846558,39.41952896
86,37.381552,39.41246414
87,37.265301,39.38915253
93,36.742169,39.41800308
97,34.300888,40.98268509
100,26.33766,47.91927338
101,26.453911,46.48156357
103,34.242762,41.25130463
104,26.512037,46.96256638
105,34.184636,41.08677673
107,34.12651,41.02408218
109,26.628289,50.3891983
110,34.010259,41.57431412
114,33.777756,44.11629105
115,33.603379,44.37200928
121,33.661504,44.14628601
122,38.892822,39.42978287
124,38.950947,39.41193771
125,39.067199,39.29528427
126,39.009073,39.37105942
131,39.590331,39.24731827
132,39.299702,39.26627731
133,39.415953,39.2641716
139,27.965181,41.62843704
147,10.353079,35.78574753
158,37.032798,39.41518021
159,36.800295,39.43829727
168,36.916546,39.46762085
170,36.393415,39.51561737
177,10.527456,33.71469879
181,36.102786,39.5365181
184,34.765894,40.01831818
196,5.935522,39.13415146
198,5.993647,39.13854599
200,35.289025,39.93205261
203,35.695906,39.9250679
204,35.172774,39.83578491
211,35.63778,39.98358917
212,35.463403,40.03718185
213,9.132438,39.17959213
216,9.539318,39.16974258
224,6.342402,39.16123962
228,9.190564,39.17841339
230,6.807408,39.15616226
232,6.458653,39.15233231
247,8.609306,39.17431259
250,7.504917,39.141716
252,8.667432,39.12598038
255,8.493055,39.16679001
257,8.434929,39.16083145
260,7.795546,39.13988876
263,7.911797,39.19149399
286,10.759959,33.98287964
288,20.990091,38.75323486
291,10.87621,33.10622025
293,20.931965,38.75839615
294,11.050588,31.21198273
300,20.757588,38.85795593
302,19.478821,39.14468384
305,20.699462,38.89607239
314,19.711324,38.9896965
315,20.001953,38.9601059
318,20.060079,38.96089172
325,19.827576,38.92648315
334,12.038725,29.89693069
342,32.673367,42.6385498
347,12.154977,30.27913284
348,14.247504,-13.56362152
356,14.480007,10.80003738
358,14.71251,26.55929565
360,14.654384,23.21314621
367,15.003139,30.00898743
372,15.177516,30.65222931
384,15.816899,32.81435013
385,32.266486,43.74704742
387,18.723187,39.17256546
388,32.208361,43.72961807
389,15.875025,32.9250412
406,17.502546,38.39594269
409,17.967552,38.90481949
418,16.281905,33.30373001
422,18.432558,38.92668915
424,17.618797,38.42785645
433,31.80148,44.00297546
